ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Hampton,,5.0,f,l,1-867-569-4206,KYLERIIREMQZUJ,DE,Convergys,Fbbpszvindlcdhofzdybpvwlytxnowcopcbjczcaajcynxxznwvhauzacsskoblpzdbptpueuhor,1.0,78.0,qnuyohsqqraxdffrp,3983979.0,Eqhibedgotwxddjwytfwr,W,Ucflbbx,qnu10273,5.0,586.0,O,33106.0
Philadelphia,United States of America,0.0,f,d,1-218-042-5808,Wqegrvnutjytqhenuhvdbxr,KS,Juniper Networks,Ljlzqhffyxnlnfjyohoxzjkfxiwghbcdhlfxjhxykkxhixmupjmtaviwjqveokorsnuijjdwkhzfdvv,1.0,63.0,Xvupo,965710.0,Jtawgvujloakigamsdmrjpt,M,QGRPWHNQGFX,Xvu10274,5.0,850.0,O,246653.0
Provo,United States of America,1.0,F,n,1-027-347-2963,IELCKCKHTGODYCBVNNC,IN,Boise,rtiecnqjwgxunlaqcimdyydbwgfxvfhzrkdocojjkprvvagtllrgsvemazlchklddbjjdpsryphvbpvs,1.0,33.0,Iczceqpjdvvnqzrgoyhifrgoas,1299395.0,cqewpgrhdqavgtwjzdolntbldbcrqsviimxklvsawkdpszroymrguhwvxpdrricdmiwzpnqq,W,RTITZZCVTR,Icz10275,9.0,801.0,U,20483.0
Salem,Canada,4.0,F,I,1-855-521-9038,Rhvmlqthiuqge,CA,Snap-On,snbnsxxealzjxuoruhkbwknnnguqcrqgewunpvtrt,1.0,99.0,Olbjlkntjwcne,,Qpzqdksnsiuaopjjchgvnnoabhpfafdunmctgdzioobmwxk,,Arltbdbqe,Olb10276,4.0,569.0,O,228863.0
Albuquerque,United States of America,3.0,,M,1-857-525-3314,gasrrutlqwryqnuqqsai,NJ,Pilgrim's Pride,mmpgedvrmkk,2.0,3.0,GWUXUKFQTCMESBHKC,2207030.0,Dxtkhpjybvydxrzkrvjfsyjisbrclfnjhkhonpgvacqnwhohkeawswggmaws,M,Svotdew,GWU10277,10.0,458.0,U,
Jersey City,United States of America,5.0,F,,1-565-181-1431,Btxrzgsfponqqtpnrt,WY,Imation,ZOVAEFKNCQQIPOXXNCLQPGVTUCG,4.0,27.0,Fiqzuovopqszawutagwpjffudfdcdb,2894351.0,OBFPNRGRTXRLLANFSBDKXYIH,M,UPWCFQK,Fiq10278,6.0,577.0,R,344353.0
Whitehorse,United States of America,0.0,,R,1-305-586-8338,MSLWYFMRPYPONTFJNPEWDRXM,NM,Universal Forest Products,FHSVXWSQTXJUNYKZBKLFSZXSWAJHPTTQRGFSKEIIC,4.0,0.0,Reyoclhhkjnepywdrr,1708443.0,EGWNREEDIXLXSHWTTQUMLZTEMSMSG,M,Ygroxmuwhlpb,Rey10279,1.0,581.0,O,484426.0
Seattle,Canada,5.0,,,1-810-348-5764,Kpiugbzziqdmasqxmhdrqbiqnvdy,HI,FirstEnergy,VBHZCUKBZCGRJRWNYEA,0.0,11.0,myuillpfefcreyizzwvriu,1832193.0,KWNEVZHOVCXPXUPDUBIHZWIEEAFLRLXZQLDICXQQBCODYCNSAWNCAHXUJS,D,Xiubqxhwg,myu10280,0.0,431.0,U,395647.0
Fresno,United States of America,0.0,M,W,1-777-511-0980,ELJEHUYJJUEDQZWD,MN,Holly,Oxqsjakkqydteaqfrdcawkvqxkclilslceoqbvfgcuaerlbfsyfzdkicpjguhhagiqvfpvmujcnofk,5.0,30.0,Xpgwwxaexawlaceblyv,513921.0,bxeibwjwv,W,Qdeanxzax,Xpg10281,1.0,405.0,O,110019.0
Shreveport,United States of America,3.0,,,1-529-211-2980,Jzdme,MI,Adobe Systems,RDHSH,5.0,42.0,Pkbmxvfc,1109654.0,Kzadrgurbxqjaqmpfigqxdtnghtvejmiecaklnmwdpqqqowteetspqeveedh,U,YPACS,Pkb10282,9.0,457.0,O,490258.0
Pittsburgh,United States of America,3.0,,,1-047-373-3076,xuelxopwqoyxnywxujrityqr,MT,FedEx,lsuzazniqnaosdzooiqajawtjiblqhksneyqelxpzaypdfdbcmeoijvmnhfrxcxrmqjvgh,2.0,6.0,hpbjg,1289753.0,Yaszcpdlcrzlgfwcbxyatjwxuiplhnfesjpffdagwzgcosxliqpemzs,W,Yqipjgftgfa,hpb10283,0.0,839.0,R,232130.0
Chula Vista,Canada,3.0,,,1-184-649-3305,Lffnaytytrvitgrwfsnojj,WY,Tiffany & Co,Qxwufnui,0.0,29.0,Mdqghnbs,2399606.0,LLEUVPMRAGYFOXQGVTULSZRUIQBMMZFYDAADFVFWUARFIHCWIWVHKHIXTZWUUBZNGVQVSYGIHI,S,Qudlpqnoved,Mdq10284,5.0,353.0,O,308241.0
Elizabeth,United States of America,4.0,m,F,1-095-358-1391,oqatffruqifsszajtv,NV,Equifax,vthsqdmhguzeyts,3.0,32.0,NBJLDCOT,2092453.0,HXRXMFDSAEOXPXCFXUEGMPKUTLCOQHOOMBGBQSQX,M,Dgorjk,NBJ10285,4.0,322.0,U,9942.0
Anaheim,United States of America,5.0,f,,1-896-125-6539,Jzeoawphjduxjivhakezkjymirgmvx,RI,PerkinElmer,dnnamnhiib,5.0,56.0,Flemoetummujkdbonapxdibnarqbr,1049752.0,Sdjzorxhbdedeojaiuviolpxmxvooebeefjngqqxlazcxykqgytwnixmtcdzygleurbxomdufefg,M,Kyentayt,Fle10286,1.0,505.0,O,461275.0
Shreveport,Canada,3.0,,M,1-256-114-7838,OEYKHW,AK,Western Digital,raiurdtgdwslf,1.0,18.0,Fvnaqhqx,1444394.0,ECJXBASELAVKXTPMWUETJTECDXVIXYFEIAHSMUZCIPJIMEPOGNQCSDWMSARBLNOCLSVZYMPQQOUROOG,W,LCEIWY,Fvn10287,1.0,497.0,O,145866.0
Montgomery,Canada,,m,,1-283-890-2321,Xytenxtgcuiu,HI,Texas Instruments,Rylecvaoasgwjjjhtgfnfconziqknudgomboixoonjcvlytyllemjufdagbndsllkezyfnjdxl,2.0,45.0,Dzpdd,1568361.0,bldbvcirevvjpgchdubscbewujpjfpirxnwdjyvjknbzhicpzknjjf,M,WFQJYL,Dzp10288,0.0,630.0,O,257215.0
Glendale,United States of America,0.0,M,I,1-302-248-5066,Bvxdubpkfxjgkwobi,MD,Rohm & Haas,XRQRPMDXOIRQTIPMMFSOLSMLVW,5.0,83.0,Mzedsgf,3580542.0,sncuhvcgzxzphcmyqhyoponbrwu,M,Ssdbmukeesum,Mze10289,4.0,653.0,O,372351.0
Simi Valley,Canada,0.0,m,,1-311-208-6801,NFSJYVDXGRMPBHQCXDQBYJFCKHWO,NV,MetroPCS Communications,Bcgjbwhdemcbbqcxadsqqillaxkyirxflsgihnfzmftbzbdwhcixtgasmgjrjmmurbqyhrixwhyhbe,5.0,97.0,Lgosaqxuoydcsiavdmqadin,3342628.0,Ndbloegeuriafwlccossmivretadlnwvhqmunjhxrrzzqzzeuxlqfikhiminmqbwbdjqug,M,Xmrxmjhjpz,Lgo10290,3.0,849.0,O,295216.0
Boise,United States of America,0.0,m,c,1-128-537-1772,Pnpfiejuiad,OR,Varian Medical Systems,Etkjindjdsqfuejahzswvrhvmkdjhpnagduffexwyocvggjmjymohvaucsqzbea,4.0,74.0,Ktzrjxgghcxhefa,2972643.0,Balbxdszgschrdottipyneajazvtapnbjw,S,TNUBIWK,Ktz10291,4.0,644.0,O,439131.0
Los Angeles,United States of America,0.0,,Q,1-340-166-3025,Eolvhrogmbwtuogcxwnqntp,GA,,laibvrntocwdvjpurzxcfkcwohueqfvoxmpaycf,3.0,93.0,Hoxsuv,3765059.0,Welkakpirccenyrm,M,Mmvkukgkpfx,Hox10292,7.0,335.0,O,432996.0
Hollywood,United States of America,0.0,f,,1-979-222-0743,KZPATZQSQCQNVHQXLKCFXMH,VA,Jones Apparel Group,qsqddnqomirngqcyfukbtuntjiuofmgxfuxmvvgkqxbcdbxoodnkqpxutrgd,2.0,70.0,trfdobild,3042330.0,,M,Omjamxlw,trf10293,1.0,676.0,R,477487.0
Fort Collins,United States of America,5.0,m,V,1-392-567-8212,Zcexffhjuv,New Brunswick,,Kljrkqwaqzqkdmqidmojmftbtuovmrd,2.0,45.0,Vnaumbjcyhb,398098.0,ytqlcfujkmnasdhqb,M,Ndyruwuupytw,Vna10294,9.0,775.0,O,223352.0
Providence,United States of America,5.0,f,,1-455-518-9563,KCZOPHYIBYKQMPQEDJUCOMC,HI,Beacon Roofing Supply,Vvnupkxoaknmgjhqgjijmokhropuoklrpufvnwjioataxqojdiedrbi,5.0,25.0,mcrwuzvdoqgboyiii,1459101.0,Jumzow,S,ISOCPR,mcr10295,6.0,599.0,O,401127.0
Overland Park,United States of America,0.0,,,1-874-304-1355,Dchyvmccaydvybjxrnj,SC,Volt Information Sciences,Bmapsqjpgehbmzhatsqhsjprwfzqcvfgzuguqbalvgiepjevojyyiopgawzwfvurzkko,5.0,55.0,Fayvkrw,1358996.0,IWQCCRRLTWA,W,ERMGUQDUU,Fay10296,6.0,743.0,O,213534.0
Glendale,Canada,5.0,,,1-043-090-9448,AKZSTJWJRABHUOKRRR,Manitoba,Fred's,JDROVNQ,4.0,16.0,sdejkgvfyhjgmxkvmsavgdnu,3000931.0,Qyxmywatqmfqtopkclelubylrcemrssbptcbweudmmodofapmwyycqejtfjdfpr,M,eurnt,sde10297,2.0,644.0,O,38680.0
Alexandria,United States of America,4.0,f,,1-017-432-2881,fxvibugbig,WA,Goodrich,Zrddrqajmiwhvzabocuutvwhcnbbpcduzyjnbytvukvwcwigrpgsqkivosghnytcgukekn,5.0,80.0,Wwlgugczspxudntrtjqbl,2923214.0,jfkwffhrvapoknqauozdkokut,M,Vvdqejrin,Wwl10298,2.0,506.0,O,31504.0
Kitchener,United States of America,4.0,F,,1-915-026-8498,FTBVDDGCGZJTQJOPFSHSHWAKNTRI,GA,Enersys,,0.0,51.0,Yqdpaqkb,2283233.0,NMRSIEKTEMUCEYLBDMEEHSDLJTNQYQAVFMSNIRTCQDXRPGQEZPQRKEOSRDUJUJXU,U,Hlsveibblyd,Yqd10299,3.0,364.0,O,354937.0
Lincoln,United States of America,0.0,F,V,1-498-930-4567,Nrwugodfahgazniimtkblp,ME,Watson Wyatt Worldwide,ZVTPMHJLISRSRMTIDSKHXFLBIGFKTMFRYMFIVHHNQUUIDYELVACHVRQQSWHODPTZ,0.0,43.0,Quxmliuuyjxndrzodtjs,2029826.0,jdpoawqlshvozoznkycnnigfgzwmhnaarsotzbgoiusgflrdjmxikeehmkahfmgfkdbgf,U,Cuxajdrhppvz,Qux10300,9.0,629.0,O,120173.0
Ann Arbor,Canada,5.0,,,1-318-775-6031,YONVTUVGHUFBARLOWULMKBGJCNO,IA,Fortune Brands,Zekfrcl,2.0,36.0,TGMXMQLMMUTASFYWUTJAW,3379446.0,Mmcpvupftdbmcbwuzaztcwinmtladnmtrgowyrfbearyadyg,M,Gztmsgbi,TGM10301,3.0,404.0,O,119606.0
Elizabeth,United States of America,0.0,,,1-294-940-2458,Ykhubhsuudztoydxvnhunvjzvmi,OR,Electronic Arts,cxuutdvosfwzzphsloealvvgcmmboqbzhbgrnkco,,72.0,bytrogeesschtlflxlodxnxbpd,3317149.0,Tcjtygakngt,U,Kffznrootti,byt10302,8.0,361.0,O,473204.0
Springfield,United States of America,3.0,M,,1-350-669-5303,Wbsanfke,SD,Bed Bath & Beyond,VYZPQCFOBCSHDWRYAOYKIFHKAFNDKKCTDUTYWQVOSHQVMEJMKVUGUGVZANHAKNXHNBJERHHM,0.0,,dzipwikegf,527327.0,JEHTMPUNEXDMSSUHHBXKVUYOKWCJGACTBHOIKXJKTXQAHSFROJ,S,Fukdfx,dzi10303,4.0,325.0,U,220189.0
Charlottetown,United States of America,4.0,,,1-920-790-3833,ozluwvqvqukhuonlvfu,CA,Crosstex Energy,FBFYJCYX,3.0,96.0,Jvadgnkegugy,2963048.0,TUBLITGMQAMZHDGOOXQSDRNWVFLOGRYISVRNLTINNUDFF,S,wvqtfhnfh,Jva10304,9.0,828.0,O,216199.0
Elizabeth,United States of America,2.0,,,1-913-949-5843,Fxcohhuoyfmzpmlcz,Alberta,BearingPoint,Cqhsqsltsyitghtqpkrpdmxkuicoyouehictkogwifsbrlyphugokihtkclitjsjl,5.0,16.0,XAXLXNKR,1316666.0,IZWAFKHMFFADVIU,W,btyjhoyfb,XAX10305,4.0,420.0,O,317544.0
Providence,United States of America,5.0,M,,1-625-232-1467,SWTVHGSCVTEKBSHCIRNQNC,KS,,Raclxlvvyoixdnjtcvlfhakrvifyebiismdmsciircogefvwwbfhsgqgstvyse,3.0,59.0,Oyjeljir,2318998.0,jtcgeywchtiwuiipeumccnpkhlrmrotwmmgzslxyrubb,S,Ahanabuysffs,Oyj10306,5.0,465.0,R,328235.0
Detroit,United States of America,1.0,,X,1-253-192-9819,VDDHBBDINHZCWJMHFBIPMRPUVC,LA,Intel,Tlgqbadulwlgccalaxhcjgqfmoevpjldvuuwgvynqnsu,5.0,6.0,zbxdifgpwjyprbzobphmswto,883453.0,Loueavrjuriggioyrxmxjezqqjjwjkypvjqigzfqf,U,ZDBXEELQ,zbx10307,2.0,771.0,R,307637.0
Sudbury,,2.0,M,,1-101-717-4949,Bhheebikleyhghxhoiwevecpnac,Nova Scotia,Electronic Arts,whvqozlqxessloeeqfuqpsaopmgbqoahjrdfoxsrklhofgawmprakcikwdnqwjdtdcysrnocbzhwfwcq,3.0,95.0,qphvf,2037517.0,blfvrnbeghcxlpkyfwesnvmi,M,akpbuefov,qph10308,10.0,717.0,U,449834.0
Fontana,United States of America,1.0,M,z,1-132-426-9783,Rudcexiihfohvcnbvhmpcgech,MD,Beazer Homes USA,IUICYQBODHHYHLTCOYYOIJJJNJWFHSR,4.0,35.0,PJKVCRF,,RGWXKDALBEGUIFZJQACBYVL,U,ARQPJVVAG,PJK10309,10.0,710.0,O,174691.0
Paterson,United States of America,0.0,F,,1-582-685-3313,Dwhcdslzstqosgvjbkz,RI,Tupperware Brands,,4.0,29.0,Ptqmqsdshyldshh,3591541.0,XOHWNQCATHMHMQ,D,EMRFDWTHLAHQ,Ptq10310,8.0,359.0,O,389627.0
Independence,United States of America,5.0,,,1-031-339-5975,WTTOKKIKSBXHJZ,Saskatchewan,Vulcan Materials,MWNCNORUZEBJXOXVWVCHRMHOAUCL,0.0,55.0,QLTLDZBSPOSBQQPGZVDQLAJ,1288257.0,Luzecyflgpixwjqj,D,gccyjvwuonj,QLT10311,6.0,810.0,R,125434.0
Minneapolis,United States of America,2.0,m,,,SKVZCUNMKQWTNMZQPAIKW,AR,Cablevision Systems,Iqifigghurncuwvuvagsuetdhkreifgzakdsqmgqwhoxbca,5.0,65.0,Jsevxpsak,935104.0,LSWBYXAGWEBB,U,XCGWBGUUZOZD,Jse10312,2.0,661.0,O,356850.0
Charleston,United States of America,4.0,,c,1-523-145-6138,Dkcakom,IN,Ryder System,Ochhdnfjdqemotyaxdllejddggmxstquokbknvbhtiemqxlfjjxlcbbihodijug,5.0,6.0,hqwkidhhkdnnsnexrbqcgfwtmmrwf,718332.0,Agqhptvfvp,S,Pkxvpn,hqw10313,8.0,639.0,O,
Livonia,United States of America,5.0,,d,1-749-501-1692,Dsnyiwqzomte,Prince Edward Island,Hanesbrands,RDCUPDEXZBBHVBYSGOHSWSULVVLWAHRETYSFSXNCFLIVEGWA,1.0,63.0,Lpgtbwvwdqpsqpqrszidhnqzxxllxm,235965.0,Nqniqkdjnoqrzpikfufbaacbaxmaafxhrklyvighwgdyppmimscfspcikdhotmaubeixjnc,M,Atebravgy,Lpg10314,7.0,458.0,O,276764.0
Detroit,United States of America,1.0,,W,1-575-129-6524,BNZUEIBLIGHQRV,Prince Edward Island,Western Refining,Auyfghifrxgouciozezoxqukitopkhbup,0.0,20.0,Tlaiykfiwnivqzkfjnlemxvgqt,152544.0,Ednyagxeqxizgttdnhcfrefp,,JPJPNS,Tla10315,,395.0,U,113138.0
Norfolk,United States of America,4.0,M,I,1-113-661-9093,ecndmqskzhwwatvvejsiptik,UT,Flowers Foods,rnwhnmazvpbsaavvzvmwayfeailpwxzkrcrqbqiqoeyew,5.0,7.0,ONSNBGMDZGNPHYVGMSWZJDN,692004.0,fmuljeljgkobqwmyho,M,dwggwcqbhx,ONS10316,,372.0,O,304274.0
Tacoma,United States of America,3.0,M,,1-529-338-3011,KERKWI,RI,Family Insurance Group,Fjjxogwuzevwulplekxmzltyors,5.0,57.0,Ukmyxtmwbotnacgee,1263478.0,iwxqesvtjifpzilhlpwtjygodpbscoljofgdsbailyia,S,,Ukm10317,7.0,590.0,R,409138.0
Toronto,Canada,2.0,,M,1-251-128-1614,xvufgbtupbpinooaeqiwlxsxijou,CT,Wyndham Worldwide,TAFHTKEFKUGXLGLTZECQUQQMFSKHJLXLQOHFQZERZRTV,2.0,31.0,eknghrpnd,2451725.0,xzugfobxwarqmamvdgzjdbqvkfwpgtriolbmkfpkthoohbminqvbkmmflzoluhvmyjmpppsvrhhxxidr,M,,ekn10318,2.0,644.0,U,169215.0
Kansas City,Canada,5.0,M,,1-167-231-5244,Frzshjyonawmdpkxejxdd,ME,Convergys,Nalfy,1.0,47.0,tleakxczb,2572155.0,,D,ybsqe,tle10319,5.0,,O,183997.0
Hilo,United States of America,5.0,,,1-746-577-8502,Qvsfvwrklpkxyycsazczssonxji,MN,Baker Hughes,LWHLVJETUVYADXQDQCBQRYIFPSHGTFCAZPHDPUNHLYPSGA,1.0,30.0,YXNBF,3017947.0,Slruciuqxjigdapaqxwumjcqmucoovrthqeaikbunhhbvxcxhxtosloywruozx,W,Uobrjrnqh,YXN10320,,394.0,O,305712.0
Durham,Canada,0.0,,q,1-509-447-2508,ebnyosgftrctfunaaq,CO,Enersys,Xjlwwrmdfagoffozgchrqbgiwgdfsrukiqvjezlhnxxmwruvyhhfuo,5.0,30.0,Zzjspincoyqehtjrjfxu,2583073.0,Tpjlqemejnjoyvjcqpq,U,qdgxygs,Zzj10321,2.0,566.0,O,370852.0
Costa Mesa,United States of America,1.0,,v,1-307-390-6887,BVMRIULUOLOAM,Saskatchewan,Mueller Water Products,WVCFVBYYVAUVIMXDXLDNSHIEPOCXRPDYERVVCZZMBQHPCAFZGGCMHSCJPEASUXBNA,4.0,86.0,Mcwmijdenc,,Rdchkohwwugmrihdmcejpzrhred,M,PZOPDBESO,Mcw10322,9.0,398.0,O,61789.0
Mesa,United States of America,1.0,F,,1-444-903-6881,Lqhdqfiybhbucnqxusszbov,FL,IDT,Vjbnepxystjpagvlmxygrsjaamvfruneprxewugcgg,0.0,25.0,BJOSCMTOXVDCMLKGKQF,245862.0,uialriswkkdkzhxwgoohxfqoagpjlkuozrsgafezqsmcd,S,Rxjphrlr,BJO10323,10.0,484.0,R,4923.0
Mesquite,United States of America,1.0,M,,1-858-508-4426,Kyykobrwbvcgsmm,Newfoundland,Apache,NGGTXLXYVDYCFRRLOABZMTEFNRVPNGGSOQHPNKDRSBUTVZKGLZWRGVQ,1.0,89.0,Hrfqhfead,2719205.0,,M,yhcvod,Hrf10324,5.0,616.0,O,125828.0
Palmdale,United States of America,5.0,,,1-286-527-3740,Hapkabenarthzygblqfvk,WV,DST Systems,Rfsrsjsrdogcjodwseqtjapsjbwhwdyuwtvddownuk,0.0,0.0,Ncclmcivvceobo,1740714.0,Ovmdskhdsvigkjyrgodhofipyzxfavhxvjhycl,S,pzpakanbch,Ncc10325,10.0,643.0,O,135487.0
Mount Pearl,United States of America,5.0,,,1-153-003-2570,Wtnqbsxglojrbnxogqyagcxbuofo,NJ,Bank of America Corp.,PZCEMEEQEUCRAC,3.0,18.0,IZHXIBLPXJLTCSOVQFNAA,2637913.0,jkfvrjpcjwvemsrdyijherhwdnfknnnqijlqfxsovqykmefyus,D,Batvyegke,IZH10326,6.0,809.0,O,195856.0
El Monte,United States of America,1.0,m,,,fjtdeyhytxbiovkfrx,VA,AptarGroup,Sxcheabppcgezq,2.0,1.0,ltwoswyvyyuxxklwrmniyirphuwl,727773.0,nondwlnmomyquvqbrxhadgkugllsqmjgxnrhmxehaffvpbhhahsjeohhvewm,U,Igipvlmbbfbi,ltw10327,4.0,421.0,O,114169.0
Grand Rapids,United States of America,4.0,M,,1-552-571-2630,Jwhgqtvixaepnadkjohvnyprroro,NM,Goldman Sachs Group,Vpgeittvpzfghyzcfwslvoacenouujzviiiiuvchcv,0.0,,Erpukydwhowf,,Jecwvweswmsnthkqfrbolwadbyyrywzsiyeedkwoeagvwbtnj,M,zksnroorx,Erp10328,4.0,441.0,O,
Windsor,United States of America,4.0,,k,1-190-154-2038,tuabamybqvgszrkmpyejtg,VA,Electronic Arts,LQDURDCCKUHRYWRAVLVGJMPGMHDO,0.0,90.0,Ihjhif,2183914.0,Zubtvaieyldqubmrszzvysljhsrcvtgaznmqhtcvgopbxwpm,S,Xjgkhonsdrou,Ihj10329,0.0,774.0,O,7519.0
Peoria,United States of America,5.0,,,,XYSUPXMUDSONENB,OK,Constellation Brands,FHRGUSTVXKMYULXFNUHGNYJKMKMHWPKBPANMFYLAJQGAREJDVLZVHYXGYHYWDCMSVTEPRVMBNJMJXTCS,4.0,99.0,Dvpzxfgcgympjxp,,Bminfhyyoeamwqpgmkawychgbobadrf,M,Tbjttynwvqg,Dvp10330,3.0,543.0,O,238879.0
Pasadena,United States of America,3.0,M,,1-552-106-9068,Marragvmbahnpcowijc,ID,Global Partners,Lkxawpyg,2.0,57.0,Fvomjn,1910630.0,ZYPOTLUCWUEIKPRE,U,MMPKKR,Fvo10331,8.0,428.0,O,216087.0
Fort Smith,United States of America,4.0,M,,1-767-207-0142,xcphrvmflwekpvirgpsg,IN,,ucrmgwrpbkranntlremfvnbrilpgswgbs,1.0,60.0,EASQYJJACDHO,,Ddxbh,M,Ondaczmnwxf,EAS10332,2.0,807.0,O,102912.0
Dayton,United States of America,5.0,,W,1-724-066-2268,dramllhzkuawhyhabqcbfvrqph,NC,Polo Ralph Lauren,CAFXKUWMDMZRWHFOEXKBOPFRLESLLYENOCZXZFKYRNBPUXHFUBLY,3.0,16.0,Khczu,2179513.0,Mnkndgmtfqhfeoucoerlppxrvecddgrjcsihtjrwpi,,IFFMPCGPI,Khc10333,1.0,799.0,R,
Mobile,United States of America,5.0,f,,1-964-615-1655,Zbcgwtroccemfyxeismixeca,NY,Fortune Brands,Hubepwrgjsymcblrkolkptqemjlofrasodjrasmid,3.0,15.0,Koamvkftvvsozqxj,196241.0,LXSXMLNDKOMFKEAGXAUFBXKXHINOZJHPTKXPVXFSBYFJTYWPEOWOQSH,M,Cchixqfr,Koa10334,9.0,641.0,R,141657.0
Vallejo,United States of America,3.0,,b,1-919-806-1423,ZAYBDWD,VA,St. Jude Medical,obprtswaqvddyfiimktrwrrgpuogxg,0.0,87.0,hazweqijngdzgyrvvliozfwydkdp,281132.0,Lmvuogdodqpust,W,Klsra,haz10335,1.0,377.0,U,57554.0
Sudbury,United States of America,5.0,,,1-361-273-7223,Hzvhrwtkcjlqvkgrbkdm,IL,Rohm & Haas,peympelgqbywcjatvxcequtrcdmdhgssbkezcciggyuvsffndviyeppvglhyfknawcvdvwxncujafkn,0.0,84.0,Ailyvkuguabqb,3115635.0,Vxfwhqmdyuorailsrbimuczcsladhademfvhrqngrojbnqjjyjxwtuxbcdjv,M,kpryr,Ail10336,2.0,767.0,O,4825.0
Brownsville,United States of America,2.0,F,r,1-720-046-2092,Okjppyxezwxlclavobkzrpskp,Manitoba,Family Dollar Stores,Hmuakgj,1.0,11.0,Uuhdtmgtsyjxdxubpnvxhwcf,1984970.0,Snrmzeivwiqzes,M,SNURPVQTS,Uuh10337,1.0,732.0,O,355454.0
Topeka,United States of America,2.0,M,a,1-804-311-6034,fjhnurwnsupln,NV,Republic Services,lrvvgxzbjrqhljtxqjuinruoupkkodullennjfchlgwsqfgowqhnrjgumjvunhxt,4.0,,mwhvuiaahsg,1559480.0,Jdrxcraysvcwrcojwgfllmcvwmlaufprjwkgnvlfcovwolniaxiynrqxybyvkef,D,OAQMDGCBXJC,mwh10338,9.0,802.0,O,
Bridgeport,United States of America,5.0,m,,1-433-384-7483,WFDFZJJGVXWNXSCQQJG,GA,Moody's,Kqqcknuqen,3.0,61.0,Rrlzudl,392657.0,Dhnijlswdlierzozpsmxtlmdwbubogyuluqceahikrcztfdtbbgkpkxsldahofqxpqvxqdgdmpt,M,emzhrbbmedjh,Rrl10339,8.0,490.0,O,48574.0
Fort Worth,United States of America,5.0,,G,1-663-672-2415,Olvvijmgbdnceglrqxmpycomw,New Brunswick,Crown Holdings,Ucxcgxjekmsilxpbvdewdhndpxrcvvqkgkdvfclypfhpqblfdhynrn,2.0,82.0,NNQYTZTFNZHLJNYVTYLDQWF,1940637.0,ATAPYDXEBGRCUQSBNLWFGDVSBACLZXFDUXTENUSGVHFFTEUZZDLKTOSNNGK,M,,NNQ10340,6.0,523.0,O,132397.0
Toledo,United States of America,0.0,m,,1-088-558-9319,rilxdfatizxtplhn,DE,Affinia Group Intermediate,CFRXHHXCQJVZZCSLPHDHNTYPZAULVUOKNPHTUXWOKLWA,3.0,87.0,alzyklqinbiomxxdzjts,934030.0,Ieuocwgexboqvktugkmtldvqjqcaneyecegylnvpqvbztvpbgxswgzlrsbahtlla,M,otmodakeqjsg,alz10341,0.0,319.0,O,262640.0
Cleveland,United States of America,1.0,,B,1-705-610-4310,npvxqamatjziritoeetoahbuds,CA,Sun Healthcare Group,Krknpqicnvqnmkmkmtpjeyuwjtpbzygstcqmggwbkpu,1.0,76.0,Baukzeuuacrxm,3762105.0,Ldcgutcwvhvborovegunkcvvntaynrbtugurfvrdfavsjskhkdlwpeho,U,Ggfhkewxaj,Bau10342,4.0,789.0,R,427107.0
Sherbrooke,,,F,,1-081-860-6404,rrharbtzh,WY,Capital One Financial,Tnegnkniqgobtaravginfrsmcodhzajjzlgnpqibytrgaczbwldvgldgkljhdlwznbwdnbrzls,2.0,81.0,WXPIHGISL,1338212.0,Odziccoyrqmrhmqywefprjuqtc,,Piqbcsi,WXP10343,2.0,329.0,U,129602.0
Augusta,United States of America,2.0,,h,1-355-319-1506,Bgitxoqtnelqvbhxneoxvpcje,NM,Merrill Lynch,JISOFYWXHGXVQFACQ,3.0,81.0,Ohnrgtjgrzalkptlujejwjvdbcqk,1096324.0,Ituodfjfxajisziutobmouktpwbteenlktmpcgcwvrkhsvaruocadcmpzsceeec,M,Vebpsrgnm,Ohn10344,9.0,371.0,O,342104.0
Omaha,United States of America,5.0,,,1-871-826-4670,SIXHXVSLIJKQETDF,IL,Newell Rubbermaid,kywmentjxglawecgaqiwwbz,2.0,97.0,Pbpdxpgefq,1614409.0,Gwsgybmzimmfaegpnhygjjujoty,M,aucgblujjt,Pbp10345,3.0,395.0,O,82651.0
Fort Collins,United States of America,0.0,f,,1-761-170-5202,crzvoycfksvwlepkukbqfs,KY,Molson Coors Brewing,nwhvwqftezsmbupschonunlolvqyowplrmppwoitqwpardvioigafcsyb,4.0,3.0,Jvblwnjckoeogxjwpjxkare,2246040.0,epvhtzrjnnfeyhpfutpwysqbhlxhczpfhwioggralovnolnyencehhtmwxpwruxzj,D,ocbivsmflhbg,Jvb10346,2.0,366.0,R,105275.0
Durham,United States of America,2.0,m,,1-587-880-0627,jovhsov,LA,ArvinMeritor,Rqtllqaekhchbdyfeoknawximel,3.0,4.0,dqfxjfbenwbaxmaweqsbucv,1029298.0,Xdepsijezqqmjzu,D,Adulixddafa,dqf10347,9.0,462.0,R,448502.0
